DateTime,CycleCounter,MaxWeldForce,WeldAbsolute,TriggerDistance,WeldTime,WeldPeakPower,CycleTime,AnomalyScore
11-Nov-2021 08:01:13,1103902,175,38419,38095,397,378,1471,1
11-Nov-2021 08:34:18,1104433,175,38379,37974,363,440,1440,1
11-Nov-2021 11:20:08,1107051,175,38417,38081,397,388,1470,1
11-Nov-2021 13:51:15,1109446,176,38274,37958,339,531,1411,2
11-Nov-2021 22:07:57,1117106,175,38252,37917,333,516,1406,2
11-Nov-2021 23:42:52,1118517,175,38387,37939,347,445,1422,1
12-Nov-2021 03:53:57,1121707,175,38201,37693,402,420,1461,2
12-Nov-2021 08:06:21,1125202,175,38436,38111,396,376,1470,1
12-Nov-2021 13:35:42,1128841,175,38278,37945,339,510,1409,2
12-Nov-2021 13:48:24,1129050,176,38411,37942,361,412,1439,1
12-Nov-2021 14:45:26,1129952,175,38400,37949,353,444,1431,1
12-Nov-2021 18:45:12,1133661,175,38383,37968,374,446,1447,1
12-Nov-2021 19:07:03,1134027,175,38293,37965,350,489,1420,2
12-Nov-2021 19:42:25,1134618,175,38394,38060,355,555,1429,1
12-Nov-2021 20:31:01,1135350,175,38338,37957,359,436,1433,1
12-Nov-2021 21:57:30,1136684,175,38400,37985,378,428,1455,1
13-Nov-2021 06:27:50,1137839,175,38460,38122,400,371,1474,1
13-Nov-2021 06:31:01,1137875,175,38357,38037,383,382,1455,1
13-Nov-2021 14:27:01,1142197,175,38338,37888,373,404,1449,1
15-Nov-2021 07:23:32,1145290,176,38408,38069,382,807,1454,1
15-Nov-2021 07:23:46,1145294,176,38455,38120,388,615,1460,1
15-Nov-2021 07:23:53,1145296,176,38438,38110,377,691,1449,1
15-Nov-2021 07:23:57,1145297,176,38433,38094,373,677,1446,1
15-Nov-2021 07:24:04,1145299,175,38437,38102,369,577,1442,1
15-Nov-2021 07:31:31,1145423,175,38604,38264,332,521,1406,2
15-Nov-2021 08:34:59,1146322,175,38328,37891,357,423,1432,1
15-Nov-2021 08:36:20,1146345,175,38313,37979,344,494,1415,1
15-Nov-2021 09:36:20,1147349,175,38179,37685,417,407,1476,2
15-Nov-2021 10:34:05,1148217,176,38413,38073,398,378,1470,1
15-Nov-2021 12:12:21,1149676,176,38340,37960,352,531,1423,1
15-Nov-2021 16:46:41,1152762,175,38122,37600,322,566,1396,3
15-Nov-2021 16:46:44,1152763,236,37266,35950,302,526,1242,3
15-Nov-2021 16:46:48,1152764,178,37531,35950,302,552,1236,3
15-Nov-2021 16:46:55,1152765,174,37601,36550,303,525,1253,2
16-Nov-2021 06:29:22,1163416,175,38542,38222,337,484,1413,2
16-Nov-2021 08:26:00,1165155,176,38404,37982,377,423,1453,1
16-Nov-2021 09:03:05,1165749,175,38388,37946,359,429,1438,1
16-Nov-2021 09:11:38,1165873,176,38365,37951,379,418,1454,1
16-Nov-2021 09:27:45,1166104,177,38382,37973,387,434,1461,1
16-Nov-2021 18:07:12,1173677,177,38350,38045,377,392,1449,1
17-Nov-2021 00:16:11,1179211,175,38539,38227,321,493,1398,2
17-Nov-2021 00:54:28,1179754,176,38378,37976,365,461,1439,1
17-Nov-2021 08:44:32,1186988,175,38297,37988,338,527,1411,1
17-Nov-2021 11:13:52,1189346,175,38416,38089,401,383,1475,1
17-Nov-2021 14:07:23,1192182,175,38417,38088,400,378,1474,1
18-Nov-2021 00:35:09,1202521,175,38287,37947,330,508,1403,2
18-Nov-2021 12:22:27,1213845,175,38404,38053,364,468,1721,1
18-Nov-2021 12:22:31,1213846,176,38419,38078,364,471,1722,1
18-Nov-2021 12:22:34,1213847,175,38445,38108,364,464,1701,1
18-Nov-2021 12:22:38,1213848,176,38445,38108,361,482,1722,1
18-Nov-2021 12:22:42,1213849,177,38444,38099,363,479,1700,1
18-Nov-2021 12:22:46,1213850,177,38438,38094,361,484,1721,1
18-Nov-2021 14:07:06,1215568,175,38412,38066,388,428,1741,1
18-Nov-2021 14:07:10,1215569,176,38432,38089,376,450,1706,1
18-Nov-2021 14:07:13,1215570,176,38409,38071,366,473,1685,1
18-Nov-2021 14:07:17,1215571,177,38417,38067,375,446,1704,1
18-Nov-2021 14:07:21,1215572,176,38427,38093,370,455,1678,1
